"IncidentNO","year","State","City","ZIP","Street","Other","Firefighter","Total","Cause"
"2009576",2012,"AL","coden","36523","satsuma",1,0,1,"Unknown"
"294",2012,"AL","Oxford","36203","Airport",1,0,1,"Cooking"
"012-081",2012,"AL","Clanton","35045","186 County Road 374",1,0,1,"Unknown"
"12-0001",2012,"AL","Equality","36026","411 AL Highway 9",1,0,1,"Unknown"
"252",2012,"AL","Atmore","36502","101 Beck St",1,0,1,"Other Unintentional, Careless"
"452",2012,"AL","Wawbeek","36502","Sycamore",2,0,2,"None"
"0000054",2012,"AL","Moulton","35650","County 238",1,0,1,"Unknown"
"0002877",2012,"AL","OPELIKA","36801","BULLOCH",1,0,1,"Open Flame"
"0013607",2012,"AL","HUNTSVILLE","35810","GLENDALE",1,0,1,"Investigation with Arson Module"
"0001870",2012,"AL","HUNTSVILLE","35801","GOVERNORS",1,0,1,"Investigation with Arson Module"
"0000014",2012,"AL","ROANOKE","36274","CANNON",1,0,1,"Cooking"
"1200380",2012,"AL","Phenix City","36867","28th",1,0,1,"Other Unintentional, Careless"
"0000397",2012,"AL","Salem","36874","Lee Rd 2088",1,0,1,"Unknown"
"12-ooo1",2012,"AL","Elrod","35458","15392 Boyd Road",1,0,1,"Unknown"
"0510122",2012,"AL","Nauvoo","35578","6202 CR 29",1,0,1,"Unknown"
"0000103",2012,"AR","Rogers","72756","INDIAN HILLS",1,0,1,"Unknown"
"0000488",2012,"AR","ROGERS","72758","MCCANN",1,0,1,"Investigation with Arson Module"
"0000488",2012,"AR","ROGERS","72758","MCCANN",1,0,1,"Exposure"
"0030912",2012,"AR","Magnolia","71753","306 Columbia Rd 202",1,0,1,"Unknown"
"0000886",2012,"AR","Van Buren","72956","Jefferson",1,0,1,"Smoking"
"0001540",2012,"AR","Van Buren","72956","25th",1,0,1,"Cooking"
"2012002",2012,"AR","Fordyce","71742","W 5th St",1,0,1,"Other Unintentional, Careless"
"1203092",2012,"AR","MCGEHEE","71654","109 JEFFERSON STREET",1,0,1,"Natural"
"1209101",2012,"AR","MCGEHEE","71654","698 SONYAS LANE",1,0,1,"Other Unintentional, Careless"
"0382011",2012,"AR","Winchester","71677","135 South Peacock St",1,0,1,"Other Heat"
"0001363",2012,"AR","Conway","72034","HIGHWAY 25",1,0,1,"Investigation with Arson Module"
"0013762",2012,"AR","Conway","72034","CENTER STREET",1,0,1,"Open Flame"
"0000005",2012,"AR","Altus","72821","Hatties Ln",1,0,1,"Unknown"
"0000009",2012,"AR","Altus","72821","Roseville St",1,0,1,"Unknown"
"0121734",2012,"AR","HOT SPRINGS","71913","WOODLAWN",1,0,1,"Unknown"
"017",2012,"AR","Sheridan","72150","HWY 167",1,0,1,"None"
"0000305",2012,"AR","Paragould","72450","6th",1,0,1,"Unknown"
"0022512",2012,"AR","Nashville","71852","278",1,0,1,"Other Unintentional, Careless"
"2012060",2012,"AR","VIOLET HILL","72584","LACROSSE",1,0,1,"Intentional"
"0000054",2012,"AR","Pine Bluff","71603","1700 Dixon Lane",1,0,1,"Unknown"
"1200527",2012,"AR","PINE BLUFF","71601","COTTONWOOD",1,0,1,"Unknown"
"7012",2012,"AR","Lamar","72846","1961 County Road 2651",1,0,1,"Unknown"
"0012039",2012,"AR","lonoke","72086","thomas",1,0,1,"Unknown"
"0012039",2012,"AR","lonoke","72086","thomas",1,0,1,"Exposure"
"0012085",2012,"AR","Cabot","72023","Sunset",1,0,1,"Unknown"
"1200754",2012,"AR","Texarkana","71854","MARKWOOD",1,0,1,"Open Flame"
"0000002",2012,"AR","Clarendon","72029","Bedford Ln",2,0,2,"Unknown"
"2012054",2012,"AR","Amden","71701","OUACHITA 437",1,0,1,"Unknown"
"2012012",2012,"AR","Trumann","72472","Dogwood",1,0,1,"Unknown"
"0242012",2012,"AR","Hatfield","71945","Cadillac",1,0,1,"None"
"29",2012,"AR","Hatfield","71945","113 Cadillac Ln",1,0,1,"Unknown"
"0000012",2012,"AR","Atkins","72823","HWY 64 E",1,0,1,"Other Unintentional, Careless"
"0009692",2012,"AR","North Little Rock","72118","GUM",1,0,1,"Other Unintentional, Careless"
"1201031",2012,"AR","Little Rock","77201","Lilac",1,0,1,"Unknown"
"1224893",2012,"AR","Little Rock","77201","Verbena",1,0,1,"Unknown"
"2012009",2012,"AR","caldwell","72322","1168 hwy 261",1,0,1,"Unknown"
"0000065",2012,"AR","Fort Smith","72901","WIRSING",1,0,1,"Heating"
"0000065",2012,"AR","Fort Smith","72901","WIRSING",1,0,1,"Exposure"
"0002174",2012,"AR","Fort Smith","72908","BRAZIL",1,0,1,"Investigation with Arson Module"
"0002174",2012,"AR","Fort Smith","72908","BRAZIL",1,0,1,"Exposure"
"0003700",2012,"AR","Fort Smith","72902","22",1,0,1,"Unknown"
"0004026",2012,"AR","Fort Smith","72904","49",1,0,1,"Investigation with Arson Module"
"0000749",2012,"AR","beebe","72012","826 swinging bridge rd",1,0,1,"Unknown"
"0063576",2012,"AZ","Mesa","85201","EXTENSION",1,0,1,"Other Unintentional, Careless"
"0048901",2012,"AZ","Tempe","85283","CARTER",1,0,1,"Open Flame"
"011205",2012,"AZ","Wickenburg","85390","Cope",1,0,1,"Intentional"
"0023507",2012,"AZ","Bullhead City","86442","Gemstone",1,0,1,"Smoking"
"0000055",2012,"AZ","Golden Valley","86413","Verde",1,0,1,"Other Unintentional, Careless"
"001150",2012,"AZ","Sahuarita","85629","Camino Antigua",1,0,1,"None"
"0003300",2012,"AZ","YUMA","85364","3",1,0,1,"Unknown"
"1201232",2012,"CA","ALAMEDA","94501","ELM",1,0,1,"Electrical Malfunction"
"6232",2012,"CA","NORD","95973","NORD",1,0,1,"Unknown"
"2001609",2012,"CA","Bay Point","None","Tammy",1,0,1,"Electrical Malfunction"
"2007678",2012,"CA","Concord","CRD","Clayton",1,0,1,"Open Flame"
"2053854",2012,"CA","Martinez","MAR","Donegal",2,0,2,"Other Heat"
"0000414",2012,"CA","Pollock Pines","95726","HUB",1,0,1,"Unknown"
"0000298",2012,"CA","S Lake Tahoe","96150","Julie",1,0,1,"Other Unintentional, Careless"
"0005841",2012,"CA","ORANGE COVE","93646","9TH",2,0,2,"Electrical Malfunction"
"0005841",2012,"CA","ORANGE COVE","93646","9TH",2,0,2,"Exposure"
"0005841",2012,"CA","ORANGE COVE","93646","9TH",2,0,2,"Exposure"
"0005841",2012,"CA","ORANGE COVE","93646","9TH",2,0,2,"Exposure"
"1221139",2012,"CA","El Centro","92243","McConnell",2,0,2,"Unknown"
"1221709",2012,"CA","Calexico","92231","98",1,0,1,"Other Equipment"
"0000655",2012,"CA","Corcoran","93212","6 12",2,0,2,"Unknown"
"0006139",2012,"CA","LONG BEACH","90808","SCRIVENER",1,0,1,"Smoking"
"489",2012,"CA","LOS ANGELES","90035","GARTH",1,0,1,"Other Unintentional, Careless"
"489",2012,"CA","LOS ANGELES","90035","GARTH",1,0,1,"Electrical Malfunction"
"489",2012,"CA","LOS ANGELES","90035","GARTH",1,0,1,"Unknown"
"591",2012,"CA","LOS ANGELES","90004","HARVARD",2,0,2,"Intentional"
"591",2012,"CA","LOS ANGELES","90004","HARVARD",2,0,2,"Cooking"
"591",2012,"CA","LOS ANGELES","90004","HARVARD",2,0,2,"Electrical Malfunction"
"591",2012,"CA","LOS ANGELES","90004","HARVARD",2,0,2,"Appliances"
"1097",2012,"CA","LOS ANGELES","90044","76TH",1,0,1,"Unknown"
"1097",2012,"CA","LOS ANGELES","90044","76TH",1,0,1,"Cooking"
"1097",2012,"CA","LOS ANGELES","90044","76TH",1,0,1,"Electrical Malfunction"
"171",2012,"CA","LOS ANGELES","90035","SHERBOURNE",1,0,1,"Smoking"
"171",2012,"CA","LOS ANGELES","90035","SHERBOURNE",1,0,1,"Equipment Misoperation, Failure"
"171",2012,"CA","LOS ANGELES","90035","SHERBOURNE",1,0,1,"Other Heat"
"171",2012,"CA","LOS ANGELES","90035","SHERBOURNE",1,0,1,"Other Heat"
"56",2012,"CA","LOS ANGELES","90065","03844 E AGUILAR ST",1,0,1,"Intentional"
"56",2012,"CA","LOS ANGELES","90065","03844 E AGUILAR ST",1,0,1,"Other Heat"
"56",2012,"CA","LOS ANGELES","90065","03844 E AGUILAR ST",1,0,1,"Electrical Malfunction"
"56",2012,"CA","LOS ANGELES","90065","03844 E AGUILAR ST",1,0,1,"Smoking"
"56",2012,"CA","LOS ANGELES","90065","03844 E AGUILAR ST",1,0,1,"Other Heat"
"56",2012,"CA","LOS ANGELES","90065","03844 E AGUILAR ST",1,0,1,"Unknown"
"56",2012,"CA","LOS ANGELES","90065","03844 E AGUILAR ST",1,0,1,"Unknown"
"56",2012,"CA","LOS ANGELES","90065","03844 E AGUILAR ST",1,0,1,"Intentional"
"56",2012,"CA","LOS ANGELES","90065","03844 E AGUILAR ST",1,0,1,"Other Heat"
"56",2012,"CA","LOS ANGELES","90065","03844 E AGUILAR ST",1,0,1,"Intentional"
"782",2012,"CA","WOODLAND HILLS","91367","GLADE",1,0,1,"Electrical Malfunction"
"782",2012,"CA","WOODLAND HILLS","91367","GLADE",1,0,1,"Equipment Misoperation, Failure"
"782",2012,"CA","WOODLAND HILLS","91367","GLADE",1,0,1,"Unknown"
"782",2012,"CA","WOODLAND HILLS","91367","GLADE",1,0,1,"Cooking"
"782",2012,"CA","WOODLAND HILLS","91367","GLADE",1,0,1,"Equipment Misoperation, Failure"
"662",2012,"CA","LOS ANGELES","91304","BALTAR",1,0,1,"Cooking"
"662",2012,"CA","LOS ANGELES","91304","BALTAR",1,0,1,"Cooking"
"662",2012,"CA","LOS ANGELES","91304","BALTAR",1,0,1,"Intentional"
"662",2012,"CA","LOS ANGELES","91304","BALTAR",1,0,1,"Smoking"
"0009470",2012,"CA","PASADENA","91105","CALIFORNIA BL",1,0,1,"Smoking"
"0062791",2012,"CA","PASADENA","91103","EL SERENO AV",2,0,2,"Unknown"
"0001821",2012,"CA","Fairfax","94930","MEADOW",1,0,1,"None"
"7132",2012,"CA","Ukiah","95482","Greenfield Ranch",1,0,1,"None"
"17205",2012,"CA","ATWATERCITY","95301","VALLEY",1,0,1,"Other Unintentional, Careless"
"0002585",2012,"CA","MERCED","95340","12TH",1,0,1,"Intentional"
"0003488",2012,"CA","Monterey","93940","MUNRAS",1,0,1,"Unknown"
"1202185",2012,"CA","Riverside","92506","Apricot",1,0,1,"Unknown"
"1208359",2012,"CA","Riverside","92504","Sheridan",2,0,2,"Intentional"
"1219777",2012,"CA","Riverside","92501","6th",1,0,1,"Smoking"
"0135783",2012,"CA","Citrus Heights","95610","Auburn",1,0,1,"Unknown"
"67602",2012,"CA","SSC","95823","SKY",1,0,1,"Unknown"
"1201294",2012,"CA","COLTON","92324","Valley",1,0,1,"None"
"1201300",2012,"CA","SAN BERNARDINO","92411","TIAJUANA",1,0,1,"None"
"0004200",2012,"CA","OCEANSIDE","92054","Lancelot",1,0,1,"Other Unintentional, Careless"
"0106446",2012,"CA","SAN DIEGO","92105","van dyke",1,0,1,"Smoking"
"043388",2012,"CA","SF","94109","POST",1,0,1,"Intentional"
"076101",2012,"CA","SF","94112","VIENNA",2,0,2,"Electrical Malfunction"
"0000277",2012,"CA","Penngrove","94951","WESTGATE",2,0,2,"Smoking"
"0001048",2012,"CA","SANTA ROSA","95407","SEBASTOPOL",1,0,1,"Intentional"
"0000039",2012,"CA","Oxnard","93030","First",1,0,1,"Unknown"
"2338",2012,"CA","Thousand Oaks","91360","OLSEN",1,0,1,"Unknown"
"6314",2012,"CA","LOMARICAFD","95901","SHADOWBROOK",1,0,1,"Unknown"
"11601",2012,"CA","MARYSVILLEFD","95901","BUCHANAN",1,0,1,"None"
"0000173",2012,"CO","Alamosa","81101","Eleventh",1,0,1,"Intentional"
"3120199",2012,"CO","Security","80911","Cielo",1,0,1,"Investigation with Arson Module"
"0002457",2012,"CO","SECURITY","80911","CIELO VISTA",1,0,1,"Smoking"
"0003683",2012,"CO","ARVADA","80004","COLE",1,0,1,"Unknown"
"37",2012,"CO","LAKEWOOD","80226","PARFET",1,0,1,"Smoking"
"11030",2012,"CO","FORT COLLINS","80526","LODI",1,0,1,"Smoking"
"0000035",2012,"CO","Craig","81625","Woodland",1,0,1,"Unknown"
"2550",2012,"CO","MONTROSE","81401","ARIZONA",1,0,1,"Intentional"
"1317",2012,"CO","PUEBLO","81004","JACKSON",1,0,1,"Open Flame"
"14286",2012,"CO","PUEBLO","81001","2ND",4,0,4,"Smoking"
"0001005",2012,"CT","New Britain","06053","CLINIC",1,0,1,"Other Unintentional, Careless"
"0001883",2012,"CT","New Britain","06053","WHITING",1,0,1,"Cooking"
"0000201",2012,"CT","NEWINGTON","06111","VINEYARD",2,0,2,"Unknown"
"0012443",2012,"CT","WETHERSFIELD","06109","HARVEST",1,0,1,"Other Heat"
"0001908",2012,"CT","DANBURY","06810","HARDING",1,0,1,"Unknown"
"0002101",2012,"CT","FAIRFIELD","06824","BENSON",1,0,1,"Cooking"
"0005378",2012,"CT","NORWALK","06850","MAPLE",1,0,1,"Investigation with Arson Module"
"0001875",2012,"CT","NEW LONDON","06320","BLINMAN",2,0,2,"Intentional"
"0013191",2012,"DC","WASHINGTON","20018","BLADENSBURG",1,0,1,"Unknown"
"0023231",2012,"DC","WASHINGTON","20020","GOOD HOPE",1,0,1,"Open Flame"
"0144275",2012,"DC","WASHINGTON","20010","NEWTON",1,0,1,"Open Flame"
"0166578",2012,"DC","WASHINGTON","20001","1ST",1,0,1,"Other Unintentional, Careless"
"0000021",2012,"DE","DOVER","19904","S NEW ST",1,0,1,"Unknown"
"4847",2012,"FL","Jacksonville","32224","RICHMOND PARK",1,0,1,"Other Unintentional, Careless"
"5365",2012,"FL","Jacksonville","32256","FAWN LAKE",1,0,1,"Unknown"
"16397",2012,"FL","Jacksonville","32202","GRANT",1,0,1,"Other Heat"
"35575",2012,"FL","Jacksonville","32210","WILLOW BRANCH",1,0,1,"Unknown"
"81636",2012,"FL","Jacksonville","32209","17 TH",1,0,1,"Unknown"
"81636",2012,"FL","Jacksonville","32209","17 TH",1,0,1,"Exposure"
"111733",2012,"FL","Jacksonville","32223","SCOTT",1,0,1,"Unknown"
"112637",2012,"FL","Jacksonville","32204","WADE",1,0,1,"Unknown"
"112637",2012,"FL","Jacksonville","32204","WADE",1,0,1,"Exposure"
"112637",2012,"FL","Jacksonville","32204","WADE",1,0,1,"Exposure"
"125030",2012,"FL","Jacksonville","32246","WILD OLIVE",1,0,1,"Unknown"
"125030",2012,"FL","Jacksonville","32246","WILD OLIVE",1,0,1,"Exposure"
"0011940",2012,"FL","GIBSONTON","33534","ILLINOIS",1,0,1,"Investigation with Arson Module"
"0052915",2012,"FL","Tampa","33619","BURGOYNE",1,0,1,"Investigation with Arson Module"
"0074573",2012,"FL","Lithia","33547","RAULERSON",1,0,1,"Unknown"
"0075240",2012,"FL","Ruskin","33570","4TH",1,0,1,"Investigation with Arson Module"
"1201917",2012,"FL","Tampa","33617","Burgoyne",1,0,1,"None"
"2102681",2012,"FL","LARGO","33764","BELCHER",1,0,1,"Unknown"
"2119735",2012,"FL","ST PETERSBURG","33709","81",1,0,1,"Smoking"
"2119735",2012,"FL","ST PETERSBURG","33709","81",1,0,1,"Exposure"
"2119735",2012,"FL","ST PETERSBURG","33709","81",1,0,1,"Exposure"
"2119735",2012,"FL","ST PETERSBURG","33709","81",1,0,1,"Exposure"
"2068716",2012,"FL","PINELLAS PARK","33781","76",1,0,1,"Intentional"
"2001910",2012,"FL","ST PETERSBURG","33713","6",1,0,1,"Unknown"
"2140299",2012,"FL","ST PETERSBURG","33711","14",1,0,1,"Unknown"
"2014504",2012,"FL","LARGO","33778","102",2,0,2,"Unknown"
"0001840",2012,"FL","Haines City","33844","AVENUE C",1,0,1,"Unknown"
"0001840",2012,"FL","Haines City","33844","AVENUE C",1,0,1,"Exposure"
"1215608",2012,"FL","DAVENPORT","33896","VERDI",1,0,1,"Intentional"
"1216187",2012,"FL","LAKELAND","33810","SHERERTZ",1,0,1,"Unknown"
"0007212",2012,"FL","WEST PALM BEACH","33401","BEAR ISLAND",1,0,1,"Investigation with Arson Module"
"0020874",2012,"FL","WEST PALM BEACH","33405","PILGRIM",1,0,1,"Investigation with Arson Module"
"2107946",2012,"FL","BELLE GLADE","33430","AVENUE D",1,0,1,"Appliances"
"0031820",2012,"FL","ORLANDO","32805","GORE",1,0,1,"Appliances"
"2047058",2012,"FL","Metropolis","11111","LEE",1,0,1,"Unknown"
"2062371",2012,"FL","Orlando","32822","POMPEII",2,0,2,"Unknown"
"2066127",2012,"FL","Metropolis","11111","MERITMOOR",1,0,1,"Intentional"
"0540015",2012,"FL","ORMOND BEACH","32174","Sunset Falls",1,0,1,"Unknown"
"0003510",2012,"FL","DeBary","32713","Highbanks",1,0,1,"Investigation with Arson Module"
"2310011",2012,"FL","PORT ORANGE","32129","CLYDE MORRIS",1,0,1,"Cooking"
"0002401",2012,"FL","PENSACOLA","32505","P",1,0,1,"Unknown"
"0009057",2012,"FL","PENSACOLA","32507","DOG TRACK",1,0,1,"Unknown"
"0010165",2012,"FL","PENSACOLA","32507","JARDINE",1,0,1,"Electrical Malfunction"
"1220168",2012,"FL","PB","33064","25th",1,0,1,"Unknown"
"1202404",2012,"FL","MIRAMAR","33029","177TH",1,0,1,"Smoking"
"0706191",2012,"FL","DAVIE","33324","20TH",1,0,1,"Other Heat"
"0706191",2012,"FL","DAVIE","33324","20TH",1,0,1,"Exposure"
"0608760",2012,"FL","DEERFIELD BEACH","33441","OCEAN",1,0,1,"Other Equipment"
"0001009",2012,"FL","TALLAHASSEE","32310","HERNANDO",1,0,1,"Unknown"
"0001009",2012,"FL","TALLAHASSEE","32310","HERNANDO",1,0,1,"Exposure"
"0007482",2012,"FL","TALLAHASSEE","32301","WHETHERBINE",1,0,1,"Investigation with Arson Module"
"0009602",2012,"FL","TALLAHASSEE","32303","5TH",1,0,1,"Investigation with Arson Module"
"0018695",2012,"FL","SILVER SPRINGS","34488","19th",1,0,1,"Unknown"
"0061149",2012,"FL","ANTHONY","32617","86th",1,0,1,"Unknown"
"0121595",2012,"FL","NORTH PORT","34291","DUAR",2,0,2,"Unknown"
"2016968",2012,"FL","Venice","34293","STERLING",1,0,1,"Other Heat"
"0004844",2012,"FL","SANFORD","32771","7TH",1,0,1,"Investigation with Arson Module"
"0006919",2012,"FL","WINTER SPRINGS","32708","WEATHERED WOOD",1,0,1,"Unknown"
"0009745",2012,"FL","LONGWOOD","32750","ARDEN",1,0,1,"Investigation with Arson Module"
"0001478",2012,"FL","FORT MYERS","33967","WREN",1,0,1,"Investigation with Arson Module"
"0054239",2012,"FL","NORTH FORT MYERS","33917","BREEZEWOOD",1,0,1,"Investigation with Arson Module"
"0057414",2012,"FL","NORTH FORT MYERS","33917","LAMPLIGHTER",1,0,1,"Investigation with Arson Module"
"0081405",2012,"FL","FORT MYERS","33901","COLLIER",1,0,1,"Open Flame"
"0000005",2012,"FL","Titusville","32780","Flora",1,0,1,"Unknown"
"0000005",2012,"FL","Titusville","32780","Flora",1,0,1,"Exposure"
"0016913",2012,"FL","St Augustine","32086","Watson",1,0,1,"Other Unintentional, Careless"
"0001083",2012,"FL","KISSIMMEE","34747","BEAUMONT",1,0,1,"Open Flame"
"0019569",2012,"FL","ODESSA          UN","33556","ROWLAND",1,0,1,"Unknown"
"0029233",2012,"FL","NEW PORT RICHEY UN","34654","WABAYO",2,0,2,"Unknown"
"0033920",2012,"FL","HOLIDAY","34690","MOSAIC",1,0,1,"Intentional"
"1104031",2012,"FL","LAKE CITY","32055","WINFIELD",1,0,1,"Cooking"
"0030162",2012,"FL","Destin","32541","Sibert",1,0,1,"Unknown"
"0001285",2012,"FL","Niceville","32578","Kelly",1,0,1,"Investigation with Arson Module"
"0001285",2012,"FL","Niceville","32578","Kelly",1,0,1,"Exposure"
"0120229",2012,"FL","starke","32091","15365 se cr 100A",1,0,1,"Unknown"
"0000752",2012,"FL","Homosassa","34446","SUNCOAST",1,0,1,"Unknown"
"299",2012,"FL","La Belle","33935","Aqua isles",1,0,1,"Investigation with Arson Module"
"1201085",2012,"FL","Chipley","32428","South",1,0,1,"Unknown"
"0009480",2012,"FL","BONIFAY","32425","HIGHWAY 79",1,0,1,"None"
"1211045",2012,"FL","CROSS CITY","32628","117th",1,0,1,"Unknown"
"1206776",2012,"FL","Palm Coast","32137","FLORAL",1,0,1,"Unknown"
"15312",2012,"GA","Macon","31201","NORTHERN ST",1,0,1,"Unknown"
"0003460",2012,"GA","Villa Rica","30180","Parker",2,0,2,"Unknown"
"0003460",2012,"GA","Villa Rica","30180","Parker",2,0,2,"Exposure"
"0003460",2012,"GA","Villa Rica","30180","Parker",2,0,2,"Exposure"
"0003460",2012,"GA","Villa Rica","30180","Parker",2,0,2,"Exposure"
"0000889",2012,"GA","ROSSVILLE","30741","GREENS LAKE",1,0,1,"Unknown"
"1200145",2012,"GA","Savannah","31405","Stuyvesant",1,0,1,"Unknown"
"1200230",2012,"GA","Savannah","31401","Forrest",1,0,1,"Unknown"
"1201289",2012,"GA","Savannah","31401","48th",1,0,1,"Unknown"
"0001022",2012,"GA","Canton","30114","KNOX BRIDGE",1,0,1,"Investigation with Arson Module"
"0002851",2012,"GA","ATHENS","30606","MARTIN",2,0,2,"Unknown"
"0000440",2012,"GA","Forest Park","30297","North",1,0,1,"Investigation with Arson Module"
"0035446",2012,"GA","POWDER SPRINGS","30127","MURRAY",1,0,1,"Unknown"
"0001623",2012,"GA","SMYRNA","30080","CHURCH",1,0,1,"Other Unintentional, Careless"
"0000700",2012,"GA","Moultrie","31768","4th",1,0,1,"Investigation with Arson Module"
"0000234",2012,"GA","CORDELE","31015","RAINBOW",1,0,1,"Unknown"
"0018424",2012,"GA","BAINBRIDGE","39819","Gordon Avenue",1,0,1,"Unknown"
"0000001",2012,"GA","Albany","31701","Cherry",1,0,1,"Cooking"
"0000962",2012,"GA","Albany","31701","Antioch",1,0,1,"Open Flame"
"0002999",2012,"GA","Peachtree City","30269","Adams Falls",1,0,1,"Investigation with Arson Module"
"0000466",2012,"GA","Rome","30161","Fosters Mill",1,0,1,"Unknown"
"0000466",2012,"GA","Rome","30161","Fosters Mill",1,0,1,"Exposure"
"0010246",2012,"GA","Cumming","30028","SAWNEE",1,0,1,"Unknown"
"1209941",2012,"GA","ATL","30312","MEMORIAL",1,0,1,"Cooking"
"1213225",2012,"GA","ATL","30310","BREWER",1,0,1,"Unknown"
"0001701",2012,"GA","ROSWELL","30075","ALPINE",1,0,1,"Intentional"
"1206145",2012,"GA","AUBURN","30011","FLOWERY BRANCH",1,0,1,"Unknown"
"1261352",2012,"GA","LILBURN","30047","EDITH",1,0,1,"Unknown"
"0002827",2012,"GA","Gainesville","30501","Linwood",1,0,1,"Smoking"
"0000233",2012,"GA","Waverly Hall","31831","Twin Lakes",1,0,1,"Other Unintentional, Careless"
"0013566",2012,"GA","LOCUST GROVE","30248","DESTINY",1,0,1,"Intentional"
"0001408",2012,"GA","KATHLEEN","31047","ADDINGTON",1,0,1,"Intentional"
"0120306",2012,"GA","WARNER ROBINS","31093","IGNICO",1,0,1,"Open Flame"
"0121020",2012,"GA","WARNER ROBINS","31093","WARD",1,0,1,"Appliances"
"0000339",2012,"GA","EAST DUBLIN","31027","REX MILLER",1,0,1,"Unknown"
"0000079",2012,"GA","Leesburg","31763","State Highway 377",2,0,2,"Unknown"
"1200014",2012,"GA","Box Springs","31801","Finch",2,0,2,"Unknown"
"0000037",2012,"GA","COLUMBUS","31903","32ND",1,0,1,"Investigation with Arson Module"
"0004364",2012,"GA","COLUMBUS","31903","MARATHON",1,0,1,"Investigation with Arson Module"
"0000009",2012,"GA","Blackshear","31516","Oak Ridge",1,0,1,"Unknown"
"0000052",2012,"GA","Blackshear","31516","Trudie",1,0,1,"Unknown"
"0008055",2012,"GA","Hephzibah","30815","MEADOW GROVE",1,0,1,"Investigation with Arson Module"
"0011535",2012,"GA","Augusta","30904","APRICOT",1,0,1,"Investigation with Arson Module"
"0011535",2012,"GA","Augusta","30904","APRICOT",1,0,1,"Exposure"
"0005739",2012,"GA","CONYERS","30012","MOUNTAIN VIEW",2,0,2,"Investigation with Arson Module"
"1201211",2012,"GA","Lumpkin","31815","St Johns",1,0,1,"Electrical Malfunction"
"0000959",2012,"GA","Americus","31719","RW Jones",1,0,1,"Unknown"
"0001910",2012,"GA","LAGRANGE","30241","MARTHA",1,0,1,"Unknown"
"0001918",2012,"GA","LAGRANGE","30240","HINES",1,0,1,"Cooking"
"0000456",2012,"GA","Waycross","31503","JACKSON",1,0,1,"Unknown"
"0000004",2012,"GA","Odum","31555","Ashley",1,0,1,"Electrical Malfunction"
"0111330",2012,"GA","Cleveland","30528","JOE BLACK",1,0,1,"Unknown"
"0111330",2012,"GA","Cleveland","30528","JOE BLACK",1,0,1,"Exposure"
"0000524",2012,"GA","Albany","31705","Fortune",1,0,1,"Unknown"
"0016219",2012,"HI","Pearl City","96782","HOOMALOLO",1,0,1,"Intentional"
"0016219",2012,"HI","Pearl City","96782","HOOMALOLO",1,0,1,"Exposure"
"0049098",2012,"HI","Honolulu","96826","Church",1,0,1,"Unknown"
"0000024",2012,"IA","Centerville","52544","19th",1,0,1,"Unknown"
"0000931",2012,"IA","Boone","50036","Boone",1,0,1,"Unknown"
"2012179",2012,"IA","Peosta","52068","Sundown",1,0,1,"Unknown"
"0001061",2012,"IA","DUBUQUE","52001","CALEDONIA",1,0,1,"Unknown"
"9",2012,"IA","Fairfield","52556","17 th",1,0,1,"Other Heat"
"76-12",2012,"IA","Swisher","52338","Falcon",1,0,1,"Unknown"
"1201544",2012,"IA","CEDAR RAPIDS","52405","22ND",1,0,1,"Unknown"
