"IncidentNO","year","State","City","ZIP","Street","Other","Firefighter","Total","Cause","lon","lat"
"35575",2012,"FL","Jacksonville","32210","WILLOW BRANCH",1,0,1,"Unknown",-81.655651,30.3321838
"81636",2012,"FL","Jacksonville","32209","17 TH",1,0,1,"Unknown",-81.655651,30.3321838
"81636",2012,"FL","Jacksonville","32209","17 TH",1,0,1,"Exposure",-81.655651,30.3321838
"111733",2012,"FL","Jacksonville","32223","SCOTT",1,0,1,"Unknown",-81.655651,30.3321838
"112637",2012,"FL","Jacksonville","32204","WADE",1,0,1,"Unknown",-81.655651,30.3321838
"112637",2012,"FL","Jacksonville","32204","WADE",1,0,1,"Exposure",-81.655651,30.3321838
"112637",2012,"FL","Jacksonville","32204","WADE",1,0,1,"Exposure",-81.655651,30.3321838
"125030",2012,"FL","Jacksonville","32246","WILD OLIVE",1,0,1,"Unknown",-81.655651,30.3321838
"125030",2012,"FL","Jacksonville","32246","WILD OLIVE",1,0,1,"Exposure",-81.655651,30.3321838
"0011940",2012,"FL","GIBSONTON","33534","ILLINOIS",1,0,1,"Investigation with Arson Module",-82.382593,27.8536365
"0052915",2012,"FL","Tampa","33619","BURGOYNE",1,0,1,"Investigation with Arson Module",-82.4571776,27.950575
"0074573",2012,"FL","Lithia","33547","RAULERSON",1,0,1,"Unknown",-82.1496049,27.8187623
"0075240",2012,"FL","Ruskin","33570","4TH",1,0,1,"Investigation with Arson Module",-82.4331495,27.7208633
"1201917",2012,"FL","Tampa","33617","Burgoyne",1,0,1,"None",-82.4571776,27.950575
"2102681",2012,"FL","LARGO","33764","BELCHER",1,0,1,"Unknown",-82.7873244,27.9094665
"2119735",2012,"FL","ST PETERSBURG","33709","81",1,0,1,"Smoking",30.3350986,59.9342802
"2119735",2012,"FL","ST PETERSBURG","33709","81",1,0,1,"Exposure",30.3350986,59.9342802
"2119735",2012,"FL","ST PETERSBURG","33709","81",1,0,1,"Exposure",30.3350986,59.9342802
"2119735",2012,"FL","ST PETERSBURG","33709","81",1,0,1,"Exposure",30.3350986,59.9342802
"2068716",2012,"FL","PINELLAS PARK","33781","76",1,0,1,"Intentional",-82.6995443,27.8428025
"2001910",2012,"FL","ST PETERSBURG","33713","6",1,0,1,"Unknown",30.3350986,59.9342802
"2140299",2012,"FL","ST PETERSBURG","33711","14",1,0,1,"Unknown",30.3350986,59.9342802
"2014504",2012,"FL","LARGO","33778","102",2,0,2,"Unknown",-82.7873244,27.9094665
"0001840",2012,"FL","Haines City","33844","AVENUE C",1,0,1,"Unknown",-81.6178536,28.1141841
"0001840",2012,"FL","Haines City","33844","AVENUE C",1,0,1,"Exposure",-81.6178536,28.1141841
"1215608",2012,"FL","DAVENPORT","33896","VERDI",1,0,1,"Intentional",-90.5776367,41.5236437
"1216187",2012,"FL","LAKELAND","33810","SHERERTZ",1,0,1,"Unknown",-81.3641024,41.6383625
"0007212",2012,"FL","WEST PALM BEACH","33401","BEAR ISLAND",1,0,1,"Investigation with Arson Module",-80.0533746,26.7153424
"0020874",2012,"FL","WEST PALM BEACH","33405","PILGRIM",1,0,1,"Investigation with Arson Module",-80.0533746,26.7153424
"2107946",2012,"FL","BELLE GLADE","33430","AVENUE D",1,0,1,"Appliances",-80.6675577,26.6845104
"0031820",2012,"FL","ORLANDO","32805","GORE",1,0,1,"Appliances",-81.3792365,28.5383355
"2047058",2012,"FL","Metropolis","11111","LEE",1,0,1,"Unknown",-88.7319979,37.1511655
"2062371",2012,"FL","Orlando","32822","POMPEII",2,0,2,"Unknown",-81.3792365,28.5383355
"2066127",2012,"FL","Metropolis","11111","MERITMOOR",1,0,1,"Intentional",-88.7319979,37.1511655
"0540015",2012,"FL","ORMOND BEACH","32174","Sunset Falls",1,0,1,"Unknown",-81.0558894,29.2858129
"0003510",2012,"FL","DeBary","32713","Highbanks",1,0,1,"Investigation with Arson Module",-81.3289397,28.8713443
"2310011",2012,"FL","PORT ORANGE","32129","CLYDE MORRIS",1,0,1,"Cooking",-80.9956105,29.1383165
"0002401",2012,"FL","PENSACOLA","32505","P",1,0,1,"Unknown",-87.2169149,30.421309
"0009057",2012,"FL","PENSACOLA","32507","DOG TRACK",1,0,1,"Unknown",-87.2169149,30.421309
"0010165",2012,"FL","PENSACOLA","32507","JARDINE",1,0,1,"Electrical Malfunction",-87.2169149,30.421309
"1220168",2012,"FL","PB","33064","25th",1,0,1,"Unknown",-36.7819505,-7.2399609
"1202404",2012,"FL","MIRAMAR","33029","177TH",1,0,1,"Smoking",-80.3035602,25.9860762
"0706191",2012,"FL","DAVIE","33324","20TH",1,0,1,"Other Heat",-80.2521157,26.0764783
"0706191",2012,"FL","DAVIE","33324","20TH",1,0,1,"Exposure",-80.2521157,26.0764783
"0608760",2012,"FL","DEERFIELD BEACH","33441","OCEAN",1,0,1,"Other Equipment",-80.0997657,26.3184123
"0001009",2012,"FL","TALLAHASSEE","32310","HERNANDO",1,0,1,"Unknown",-84.2807329,30.4382559
"0001009",2012,"FL","TALLAHASSEE","32310","HERNANDO",1,0,1,"Exposure",-84.2807329,30.4382559
"0007482",2012,"FL","TALLAHASSEE","32301","WHETHERBINE",1,0,1,"Investigation with Arson Module",-84.2807329,30.4382559
"0009602",2012,"FL","TALLAHASSEE","32303","5TH",1,0,1,"Investigation with Arson Module",-84.2807329,30.4382559
"0018695",2012,"FL","SILVER SPRINGS","34488","19th",1,0,1,"Unknown",-82.0508292,29.2009881
"0061149",2012,"FL","ANTHONY","32617","86th",1,0,1,"Unknown",-120.2531378,36.6487466
"0121595",2012,"FL","NORTH PORT","34291","DUAR",2,0,2,"Unknown",-82.2359254,27.044224
"2016968",2012,"FL","Venice","34293","STERLING",1,0,1,"Other Heat",12.3155151,45.4408474
"0004844",2012,"FL","SANFORD","32771","7TH",1,0,1,"Investigation with Arson Module",-81.269453,28.8028612
"0006919",2012,"FL","WINTER SPRINGS","32708","WEATHERED WOOD",1,0,1,"Unknown",-81.3081226,28.6988853
"0009745",2012,"FL","LONGWOOD","32750","ARDEN",1,0,1,"Investigation with Arson Module",-78.3961973,37.2971798
"0001478",2012,"FL","FORT MYERS","33967","WREN",1,0,1,"Investigation with Arson Module",-81.8723084,26.640628
"0054239",2012,"FL","NORTH FORT MYERS","33917","BREEZEWOOD",1,0,1,"Investigation with Arson Module",-81.8800861,26.6672935
"0057414",2012,"FL","NORTH FORT MYERS","33917","LAMPLIGHTER",1,0,1,"Investigation with Arson Module",-81.8800861,26.6672935
"0081405",2012,"FL","FORT MYERS","33901","COLLIER",1,0,1,"Open Flame",-81.8723084,26.640628
"0000005",2012,"FL","Titusville","32780","Flora",1,0,1,"Unknown",-80.8075537,28.6122187
"0000005",2012,"FL","Titusville","32780","Flora",1,0,1,"Exposure",-80.8075537,28.6122187
"0016913",2012,"FL","St Augustine","32086","Watson",1,0,1,"Other Unintentional, Careless",-81.3124341,29.9012437
"0001083",2012,"FL","KISSIMMEE","34747","BEAUMONT",1,0,1,"Open Flame",-81.407571,28.2919557
"0019569",2012,"FL","ODESSA          UN","33556","ROWLAND",1,0,1,"Unknown",-102.375557,31.848092
"0029233",2012,"FL","NEW PORT RICHEY UN","34654","WABAYO",2,0,2,"Unknown",-82.727087,28.246525
"0033920",2012,"FL","HOLIDAY","34690","MOSAIC",1,0,1,"Intentional",-84.665075,43.370622
"1104031",2012,"FL","LAKE CITY","32055","WINFIELD",1,0,1,"Cooking",-82.6392899,30.1896756
"0030162",2012,"FL","Destin","32541","Sibert",1,0,1,"Unknown",-86.4957833,30.3935337
"0001285",2012,"FL","Niceville","32578","Kelly",1,0,1,"Investigation with Arson Module",-86.482172,30.5168639
